7227.FBpp0112147_9606.ENSP00000366135	7227.FBpp0083989_9606.ENSP00000366997
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0087124_9606.ENSP00000304350	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0290264_9606.ENSP00000156471	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0304617_9606.ENSP00000335321	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0305943_9606.ENSP00000261531	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0074835_9606.ENSP00000266079	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0074835_9606.ENSP00000266079	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0074835_9606.ENSP00000266079	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0074835_9606.ENSP00000266079	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0074835_9606.ENSP00000266079	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0074971_9606.ENSP00000363313	7227.FBpp0074835_9606.ENSP00000266079
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0074835_9606.ENSP00000266079
7227.FBpp0075395_9606.ENSP00000324122	7227.FBpp0074971_9606.ENSP00000363313
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0305943_9606.ENSP00000261531
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0074835_9606.ENSP00000266079
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0074971_9606.ENSP00000363313
7227.FBpp0084626_9606.ENSP00000392094	7227.FBpp0075395_9606.ENSP00000324122
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0074835_9606.ENSP00000266079
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0074971_9606.ENSP00000363313
7227.FBpp0078400_9606.ENSP00000362110	7227.FBpp0075395_9606.ENSP00000324122
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0305943_9606.ENSP00000261531
7227.FBpp0078624_9606.ENSP00000199814	7227.FBpp0084626_9606.ENSP00000392094
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0070402_9606.ENSP00000366557
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0072468_9606.ENSP00000360532
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0073459_9606.ENSP00000424417
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0074660_9606.ENSP00000315379
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0075282_9606.ENSP00000317123
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0080638_9606.ENSP00000387006
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0085902_9606.ENSP00000227524
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0086749_9606.ENSP00000351137
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0087124_9606.ENSP00000304350
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0290264_9606.ENSP00000156471
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0304617_9606.ENSP00000335321
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0305943_9606.ENSP00000261531
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0084626_9606.ENSP00000392094
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0078400_9606.ENSP00000362110
7227.FBpp0083581_9606.ENSP00000304370	7227.FBpp0078624_9606.ENSP00000199814
7227.FBpp0075754_9606.ENSP00000416892	7227.FBpp0075104_9606.ENSP00000220849
7227.FBpp0078584_9606.ENSP00000358140	7227.FBpp0075104_9606.ENSP00000220849
7227.FBpp0078584_9606.ENSP00000358140	7227.FBpp0075754_9606.ENSP00000416892
7227.FBpp0086098_9606.ENSP00000354125	7227.FBpp0075104_9606.ENSP00000220849
7227.FBpp0086098_9606.ENSP00000354125	7227.FBpp0075754_9606.ENSP00000416892
7227.FBpp0086098_9606.ENSP00000354125	7227.FBpp0078584_9606.ENSP00000358140
7227.FBpp0088565_9606.ENSP00000216190	7227.FBpp0075104_9606.ENSP00000220849
7227.FBpp0088565_9606.ENSP00000216190	7227.FBpp0075754_9606.ENSP00000416892
7227.FBpp0088565_9606.ENSP00000216190	7227.FBpp0078584_9606.ENSP00000358140
7227.FBpp0088565_9606.ENSP00000216190	7227.FBpp0086098_9606.ENSP00000354125
7227.FBpp0086013_9606.ENSP00000332604	7227.FBpp0075104_9606.ENSP00000220849
7227.FBpp0086013_9606.ENSP00000332604	7227.FBpp0075754_9606.ENSP00000416892
7227.FBpp0086013_9606.ENSP00000332604	7227.FBpp0078584_9606.ENSP00000358140
7227.FBpp0086013_9606.ENSP00000332604	7227.FBpp0086098_9606.ENSP00000354125
7227.FBpp0086013_9606.ENSP00000332604	7227.FBpp0088565_9606.ENSP00000216190
7227.FBpp0086640_9606.ENSP00000263857	7227.FBpp0077714_9606.ENSP00000263331
7227.FBpp0072065_9606.ENSP00000314004	7227.FBpp0070654_9606.ENSP00000378529
7227.FBpp0305561_9606.ENSP00000434614	7227.FBpp0070654_9606.ENSP00000378529
7227.FBpp0305561_9606.ENSP00000434614	7227.FBpp0072065_9606.ENSP00000314004
7227.FBpp0073893_9606.ENSP00000339109	7227.FBpp0070654_9606.ENSP00000378529
7227.FBpp0073893_9606.ENSP00000339109	7227.FBpp0072065_9606.ENSP00000314004
7227.FBpp0073893_9606.ENSP00000339109	7227.FBpp0305561_9606.ENSP00000434614
7227.FBpp0080391_9606.ENSP00000308450	7227.FBpp0072065_9606.ENSP00000314004
7227.FBpp0080391_9606.ENSP00000308450	7227.FBpp0305561_9606.ENSP00000434614
7227.FBpp0080391_9606.ENSP00000308450	7227.FBpp0073893_9606.ENSP00000339109
7227.FBpp0080894_9606.ENSP00000378350	7227.FBpp0070654_9606.ENSP00000378529
7227.FBpp0080894_9606.ENSP00000378350	7227.FBpp0072065_9606.ENSP00000314004
7227.FBpp0080894_9606.ENSP00000378350	7227.FBpp0305561_9606.ENSP00000434614
7227.FBpp0080894_9606.ENSP00000378350	7227.FBpp0073893_9606.ENSP00000339109
7227.FBpp0080894_9606.ENSP00000378350	7227.FBpp0080391_9606.ENSP00000308450
7227.FBpp0074709_9606.ENSP00000399982	7227.FBpp0293442_9606.ENSP00000276072
7227.FBpp0076090_9606.ENSP00000367406	7227.FBpp0293442_9606.ENSP00000276072
7227.FBpp0076090_9606.ENSP00000367406	7227.FBpp0074709_9606.ENSP00000399982
7227.FBpp0087335_9606.ENSP00000358854	7227.FBpp0293442_9606.ENSP00000276072
7227.FBpp0087335_9606.ENSP00000358854	7227.FBpp0074709_9606.ENSP00000399982
7227.FBpp0087335_9606.ENSP00000358854	7227.FBpp0076090_9606.ENSP00000367406
7227.FBpp0087085_9606.ENSP00000228347	7227.FBpp0086640_9606.ENSP00000263857
7227.FBpp0070913_9606.ENSP00000264156	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0081317_9606.ENSP00000265056	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0081317_9606.ENSP00000265056	7227.FBpp0070913_9606.ENSP00000264156
7227.FBpp0081756_9606.ENSP00000216122	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0081756_9606.ENSP00000216122	7227.FBpp0070913_9606.ENSP00000264156
7227.FBpp0081756_9606.ENSP00000216122	7227.FBpp0081317_9606.ENSP00000265056
7227.FBpp0088055_9606.ENSP00000262105	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0088055_9606.ENSP00000262105	7227.FBpp0070913_9606.ENSP00000264156
7227.FBpp0088055_9606.ENSP00000262105	7227.FBpp0081317_9606.ENSP00000265056
7227.FBpp0088055_9606.ENSP00000262105	7227.FBpp0081756_9606.ENSP00000216122
7227.FBpp0076312_9606.ENSP00000307288	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0076312_9606.ENSP00000307288	7227.FBpp0070913_9606.ENSP00000264156
7227.FBpp0076312_9606.ENSP00000307288	7227.FBpp0081317_9606.ENSP00000265056
7227.FBpp0076312_9606.ENSP00000307288	7227.FBpp0081756_9606.ENSP00000216122
7227.FBpp0076312_9606.ENSP00000307288	7227.FBpp0088055_9606.ENSP00000262105
7227.FBpp0305673_9606.ENSP00000359531	7227.FBpp0293442_9606.ENSP00000276072
7227.FBpp0071503_9606.ENSP00000375809	7227.FBpp0305673_9606.ENSP00000359531
7227.FBpp0075348_9606.ENSP00000259895	7227.FBpp0305673_9606.ENSP00000359531
7227.FBpp0075348_9606.ENSP00000259895	7227.FBpp0071503_9606.ENSP00000375809
7227.FBpp0073387_9606.ENSP00000314949	7227.FBpp0077714_9606.ENSP00000263331
7227.FBpp0073387_9606.ENSP00000314949	7227.FBpp0087085_9606.ENSP00000228347
7227.FBpp0073387_9606.ENSP00000314949	7227.FBpp0305673_9606.ENSP00000359531
7227.FBpp0073387_9606.ENSP00000314949	7227.FBpp0085716_9606.ENSP00000404029
7227.FBpp0073387_9606.ENSP00000314949	7227.FBpp0075348_9606.ENSP00000259895
7227.FBpp0082353_9606.ENSP00000312735	7227.FBpp0086640_9606.ENSP00000263857
7227.FBpp0082353_9606.ENSP00000312735	7227.FBpp0305673_9606.ENSP00000359531
7227.FBpp0082353_9606.ENSP00000312735	7227.FBpp0085716_9606.ENSP00000404029
7227.FBpp0082353_9606.ENSP00000312735	7227.FBpp0073387_9606.ENSP00000314949
7227.FBpp0075034_9606.ENSP00000363642	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0075034_9606.ENSP00000363642	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0075302_9606.ENSP00000297579	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0075302_9606.ENSP00000297579	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0077998_9606.ENSP00000301364	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0077998_9606.ENSP00000301364	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0077998_9606.ENSP00000301364	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0077998_9606.ENSP00000301364	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0078997_9606.ENSP00000264279	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0078997_9606.ENSP00000264279	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0078997_9606.ENSP00000264279	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0078997_9606.ENSP00000264279	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0082727_9606.ENSP00000297990	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0082727_9606.ENSP00000297990	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0082727_9606.ENSP00000297990	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0082727_9606.ENSP00000297990	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0077714_9606.ENSP00000263331
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0083625_9606.ENSP00000370589	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0087322_9606.ENSP00000291576	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0071744_9606.ENSP00000261637	7227.FBpp0087322_9606.ENSP00000291576
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0087322_9606.ENSP00000291576
7227.FBpp0078971_9606.ENSP00000355541	7227.FBpp0071744_9606.ENSP00000261637
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0087322_9606.ENSP00000291576
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0071744_9606.ENSP00000261637
7227.FBpp0082231_9606.ENSP00000423067	7227.FBpp0078971_9606.ENSP00000355541
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0070403_9606.ENSP00000311135
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0074936_9606.ENSP00000268854
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0075034_9606.ENSP00000363642
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0075302_9606.ENSP00000297579
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0077998_9606.ENSP00000301364
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0082727_9606.ENSP00000297990
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0087322_9606.ENSP00000291576
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0071744_9606.ENSP00000261637
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0078971_9606.ENSP00000355541
7227.FBpp0082995_9606.ENSP00000308179	7227.FBpp0082231_9606.ENSP00000423067
7227.FBpp0087045_9606.ENSP00000382392	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0087045_9606.ENSP00000382392	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0073943_9606.ENSP00000396673	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0073943_9606.ENSP00000396673	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0073943_9606.ENSP00000396673	7227.FBpp0087045_9606.ENSP00000382392
7227.FBpp0087637_9606.ENSP00000354040	7227.FBpp0078997_9606.ENSP00000264279
7227.FBpp0087637_9606.ENSP00000354040	7227.FBpp0083625_9606.ENSP00000370589
7227.FBpp0087637_9606.ENSP00000354040	7227.FBpp0087045_9606.ENSP00000382392
7227.FBpp0087637_9606.ENSP00000354040	7227.FBpp0073943_9606.ENSP00000396673
7227.FBpp0083800_9606.ENSP00000322570	7227.FBpp0070729_9606.ENSP00000229854
7227.FBpp0083800_9606.ENSP00000322570	7227.FBpp0081317_9606.ENSP00000265056
7227.FBpp0083800_9606.ENSP00000322570	7227.FBpp0081756_9606.ENSP00000216122
7227.FBpp0083800_9606.ENSP00000322570	7227.FBpp0088055_9606.ENSP00000262105
7227.FBpp0074662_9606.ENSP00000310129	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0076890_9606.ENSP00000310572	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0076890_9606.ENSP00000310572	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0078664_9606.ENSP00000386541	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0078664_9606.ENSP00000386541	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0078664_9606.ENSP00000386541	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0086603_9606.ENSP00000261712	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0086603_9606.ENSP00000261712	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0086603_9606.ENSP00000261712	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0086603_9606.ENSP00000261712	7227.FBpp0078664_9606.ENSP00000386541
7227.FBpp0291495_9606.ENSP00000264639	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0291495_9606.ENSP00000264639	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0291495_9606.ENSP00000264639	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0291495_9606.ENSP00000264639	7227.FBpp0078664_9606.ENSP00000386541
7227.FBpp0291495_9606.ENSP00000264639	7227.FBpp0086603_9606.ENSP00000261712
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0078664_9606.ENSP00000386541
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0086603_9606.ENSP00000261712
7227.FBpp0303270_9606.ENSP00000219313	7227.FBpp0291495_9606.ENSP00000264639
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0078664_9606.ENSP00000386541
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0086603_9606.ENSP00000261712
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0291495_9606.ENSP00000264639
7227.FBpp0303405_9606.ENSP00000309474	7227.FBpp0303270_9606.ENSP00000219313
7227.FBpp0304059_9606.ENSP00000261601	7227.FBpp0073292_9606.ENSP00000157812
7227.FBpp0304059_9606.ENSP00000261601	7227.FBpp0074662_9606.ENSP00000310129
7227.FBpp0304059_9606.ENSP00000261601	7227.FBpp0076890_9606.ENSP00000310572
7227.FBpp0304059_9606.ENSP00000261601	7227.FBpp0078664_9606.ENSP00000386541
7227.FBpp0304059_9606.ENSP00000261601	7227.FBpp0086603_9606.ENSP00000261712
