!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9317 81.234763
!Global Score: 6546.270428924702
7227.FBpp0298351 9606.ENSP00000386444
7227.FBpp0110412 9606.ENSP00000309830
7227.FBpp0080641 9606.ENSP00000348849
7227.FBpp0081879 9606.ENSP00000346437
7227.FBpp0289675 9606.ENSP00000308450
7227.FBpp0075395 9606.ENSP00000324122
7227.FBpp0081234 9606.ENSP00000342374
7227.FBpp0075560 9606.ENSP00000367299
7227.FBpp0073578 9606.ENSP00000337853
7227.FBpp0088015 9606.ENSP00000254193
7227.FBpp0081117 9606.ENSP00000384259
7227.FBpp0088517 9606.ENSP00000293217
7227.FBpp0085836 9606.ENSP00000301281
7227.FBpp0076654 9606.ENSP00000264220
7227.FBpp0290803 9606.ENSP00000287878
7227.FBpp0086215 9606.ENSP00000229239
7227.FBpp0086294 9606.ENSP00000305503
7227.FBpp0297239 9606.ENSP00000324804
7227.FBpp0290554 9606.ENSP00000343764
7227.FBpp0083502 9606.ENSP00000336666
7227.FBpp0303129 9606.ENSP00000325002
7227.FBpp0074758 9606.ENSP00000310521
7227.FBpp0079295 9606.ENSP00000244051
7227.FBpp0301190 9606.ENSP00000362643
7227.FBpp0070618 9606.ENSP00000338185
7227.FBpp0077208 9606.ENSP00000230449
7227.FBpp0072720 9606.ENSP00000267812
7227.FBpp0083969 9606.ENSP00000263985
7227.FBpp0303402 9606.ENSP00000372335
7227.FBpp0081293 9606.ENSP00000351697
7227.FBpp0078961 9606.ENSP00000203001
7227.FBpp0091139 9606.ENSP00000308405
7227.FBpp0091102 9606.ENSP00000321389
7227.FBpp0086820 9606.ENSP00000434995
7227.FBpp0076311 9606.ENSP00000299518
7227.FBpp0078469 9606.ENSP00000238497
7227.FBpp0074602 9606.ENSP00000012443
7227.FBpp0086787 9606.ENSP00000347119
7227.FBpp0086875 9606.ENSP00000311083
7227.FBpp0073891 9606.ENSP00000281871
7227.FBpp0291001 9606.ENSP00000367923
7227.FBpp0079072 9606.ENSP00000280346
7227.FBpp0072631 9606.ENSP00000222673
7227.FBpp0081736 9606.ENSP00000309477
7227.FBpp0072103 9606.ENSP00000259477
7227.FBpp0288515 9606.ENSP00000256078
7227.FBpp0083779 9606.ENSP00000258281
7227.FBpp0303581 9606.ENSP00000363021
7227.FBpp0303200 9606.ENSP00000339145
7227.FBpp0073717 9606.ENSP00000268482
7227.FBpp0085717 9606.ENSP00000363676
7227.FBpp0070877 9606.ENSP00000361076
7227.FBpp0290264 9606.ENSP00000156471
7227.FBpp0070792 9606.ENSP00000333667
7227.FBpp0301282 9606.ENSP00000299767
7227.FBpp0075203 9606.ENSP00000329757
7227.FBpp0291555 9606.ENSP00000290949
7227.FBpp0072061 9606.ENSP00000325369
7227.FBpp0082980 9606.ENSP00000251871
7227.FBpp0075935 9606.ENSP00000362282
7227.FBpp0087728 9606.ENSP00000334448
7227.FBpp0089409 9606.ENSP00000262158
7227.FBpp0305365 9606.ENSP00000232014
7227.FBpp0305736 9606.ENSP00000270142
7227.FBpp0301729 9606.ENSP00000352401
7227.FBpp0077333 9606.ENSP00000386458
7227.FBpp0084348 9606.ENSP00000257789
7227.FBpp0075820 9606.ENSP00000215570
7227.FBpp0071583 9606.ENSP00000219097
7227.FBpp0091155 9606.ENSP00000253462
7227.FBpp0076460 9606.ENSP00000388169
7227.FBpp0288669 9606.ENSP00000268035
7227.FBpp0078448 9606.ENSP00000290541
7227.FBpp0071753 9606.ENSP00000341692
7227.FBpp0075764 9606.ENSP00000298283
7227.FBpp0305425 9606.ENSP00000363089
7227.FBpp0087935 9606.ENSP00000264389
7227.FBpp0082816 9606.ENSP00000216194
7227.FBpp0079697 9606.ENSP00000273588
7227.FBpp0075313 9606.ENSP00000362300
7227.FBpp0084726 9606.ENSP00000298875
7227.FBpp0082978 9606.ENSP00000412324
7227.FBpp0082645 9606.ENSP00000315774
7227.FBpp0070950 9606.ENSP00000299166
7227.FBpp0074481 9606.ENSP00000184266
7227.FBpp0073966 9606.ENSP00000250244
7227.FBpp0303878 9606.ENSP00000236192
7227.FBpp0304695 9606.ENSP00000307491
7227.FBpp0077738 9606.ENSP00000406012
7227.FBpp0087169 9606.ENSP00000454071
7227.FBpp0077708 9606.ENSP00000381768
7227.FBpp0087972 9606.ENSP00000272190
7227.FBpp0081263 9606.ENSP00000258455
7227.FBpp0074806 9606.ENSP00000296849
7227.FBpp0084735 9606.ENSP00000307241
7227.FBpp0073781 9606.ENSP00000359151
7227.FBpp0091111 9606.ENSP00000234420
7227.FBpp0075168 9606.ENSP00000300917
7227.FBpp0081916 9606.ENSP00000263974
7227.FBpp0073681 9606.ENSP00000371475
7227.FBpp0086821 9606.ENSP00000227758
7227.FBpp0074047 9606.ENSP00000311873
7227.FBpp0083336 9606.ENSP00000311121
7227.FBpp0302048 9606.ENSP00000362036
7227.FBpp0078592 9606.ENSP00000326804
7227.FBpp0088360 9606.ENSP00000306548
7227.FBpp0084966 9606.ENSP00000344259
7227.FBpp0073035 9606.ENSP00000344818
7227.FBpp0071449 9606.ENSP00000296581
7227.FBpp0078424 9606.ENSP00000267202
7227.FBpp0082928 9606.ENSP00000315674
7227.FBpp0070561 9606.ENSP00000268854
7227.FBpp0078894 9606.ENSP00000216252
7227.FBpp0113095 9606.ENSP00000348775
7227.FBpp0304991 9606.ENSP00000348965
7227.FBpp0290556 9606.ENSP00000419851
7227.FBpp0072306 9606.ENSP00000353452
7227.FBpp0075504 9606.ENSP00000247207
7227.FBpp0082107 9606.ENSP00000297185
7227.FBpp0084648 9606.ENSP00000354499
7227.FBpp0305168 9606.ENSP00000354665
7227.FBpp0086218 9606.ENSP00000264649
7227.FBpp0085483 9606.ENSP00000417378
7227.FBpp0077209 9606.ENSP00000358737
7227.FBpp0302939 9606.ENSP00000281031
7227.FBpp0071939 9606.ENSP00000292475
7227.FBpp0070045 9606.ENSP00000258449
7227.FBpp0289500 9606.ENSP00000355279
7227.FBpp0085300 9606.ENSP00000217244
7227.FBpp0086514 9606.ENSP00000406022
7227.FBpp0074993 9606.ENSP00000326514
7227.FBpp0112945 9606.ENSP00000276651
7227.FBpp0072572 9606.ENSP00000278715
7227.FBpp0077106 9606.ENSP00000303423
7227.FBpp0297292 9606.ENSP00000424183
7227.FBpp0293581 9606.ENSP00000427463
7227.FBpp0271806 9606.ENSP00000449795
7227.FBpp0072557 9606.ENSP00000284957
7227.FBpp0081681 9606.ENSP00000385021
7227.FBpp0112985 9606.ENSP00000384109
7227.FBpp0070873 9606.ENSP00000381412
7227.FBpp0303201 9606.ENSP00000274364
7227.FBpp0075752 9606.ENSP00000307822
7227.FBpp0111967 9606.ENSP00000344789
7227.FBpp0091143 9606.ENSP00000368174
7227.FBpp0303228 9606.ENSP00000403495
7227.FBpp0085716 9606.ENSP00000383145
7227.FBpp0074458 9606.ENSP00000304895
7227.FBpp0079538 9606.ENSP00000414359
7227.FBpp0083843 9606.ENSP00000298852
7227.FBpp0074180 9606.ENSP00000196551
7227.FBpp0072119 9606.ENSP00000419005
7227.FBpp0084638 9606.ENSP00000358554
7227.FBpp0087350 9606.ENSP00000256996
7227.FBpp0082574 9606.ENSP00000360031
7227.FBpp0076756 9606.ENSP00000410758
7227.FBpp0077650 9606.ENSP00000310520
7227.FBpp0301546 9606.ENSP00000378323
7227.FBpp0085094 9606.ENSP00000240139
7227.FBpp0070842 9606.ENSP00000279022
7227.FBpp0088820 9606.ENSP00000231498
7227.FBpp0071232 9606.ENSP00000377148
7227.FBpp0078496 9606.ENSP00000225728
7227.FBpp0305737 9606.ENSP00000255764
7227.FBpp0079254 9606.ENSP00000313504
7227.FBpp0082549 9606.ENSP00000355599
7227.FBpp0073890 9606.ENSP00000295050
7227.FBpp0303187 9606.ENSP00000371376
7227.FBpp0082979 9606.ENSP00000323050
7227.FBpp0079912 9606.ENSP00000312185
7227.FBpp0080752 9606.ENSP00000361264
7227.FBpp0072616 9606.ENSP00000377007
7227.FBpp0081957 9606.ENSP00000342886
7227.FBpp0073433 9606.ENSP00000358423
7227.FBpp0082647 9606.ENSP00000265056
7227.FBpp0301175 9606.ENSP00000366629
7227.FBpp0070766 9606.ENSP00000259469
7227.FBpp0079880 9606.ENSP00000346088
7227.FBpp0077998 9606.ENSP00000301364
7227.FBpp0075676 9606.ENSP00000221494
7227.FBpp0076467 9606.ENSP00000296805
7227.FBpp0071462 9606.ENSP00000447547
7227.FBpp0071095 9606.ENSP00000333664
7227.FBpp0084076 9606.ENSP00000406463
7227.FBpp0087936 9606.ENSP00000382779
7227.FBpp0078984 9606.ENSP00000330343
7227.FBpp0304467 9606.ENSP00000295119
7227.FBpp0080452 9606.ENSP00000380505
7227.FBpp0071970 9606.ENSP00000404078
7227.FBpp0112147 9606.ENSP00000366135
7227.FBpp0271765 9606.ENSP00000345728
7227.FBpp0074480 9606.ENSP00000368716
7227.FBpp0082819 9606.ENSP00000220853
7227.FBpp0084342 9606.ENSP00000374399
7227.FBpp0076433 9606.ENSP00000391774
7227.FBpp0077159 9606.ENSP00000388107
7227.FBpp0070680 9606.ENSP00000295266
7227.FBpp0091060 9606.ENSP00000386105
7227.FBpp0091125 9606.ENSP00000265465
7227.FBpp0289797 9606.ENSP00000228825
7227.FBpp0091112 9606.ENSP00000322570
7227.FBpp0086911 9606.ENSP00000332887
7227.FBpp0077427 9606.ENSP00000269305
7227.FBpp0079164 9606.ENSP00000230354
7227.FBpp0089035 9606.ENSP00000247668
7227.FBpp0290353 9606.ENSP00000259895
7227.FBpp0293269 9606.ENSP00000258962
7227.FBpp0080396 9606.ENSP00000228872
7227.FBpp0077927 9606.ENSP00000268717
7227.FBpp0077694 9606.ENSP00000229214
7227.FBpp0305302 9606.ENSP00000323856
7227.FBpp0083663 9606.ENSP00000243253
7227.FBpp0074662 9606.ENSP00000310129
7227.FBpp0075382 9606.ENSP00000259457
7227.FBpp0071451 9606.ENSP00000364016
7227.FBpp0290558 9606.ENSP00000264345
7227.FBpp0087115 9606.ENSP00000270625
7227.FBpp0076312 9606.ENSP00000348554
7227.FBpp0073679 9606.ENSP00000377944
7227.FBpp0081317 9606.ENSP00000348838
7227.FBpp0070430 9606.ENSP00000354125
7227.FBpp0289915 9606.ENSP00000376808
7227.FBpp0088428 9606.ENSP00000380308
7227.FBpp0300667 9606.ENSP00000234310
7227.FBpp0085482 9606.ENSP00000216479
7227.FBpp0088165 9606.ENSP00000336783
7227.FBpp0290878 9606.ENSP00000221459
7227.FBpp0304269 9606.ENSP00000007516
7227.FBpp0084806 9606.ENSP00000233627
7227.FBpp0070057 9606.ENSP00000340466
7227.FBpp0288481 9606.ENSP00000312778
7227.FBpp0072861 9606.ENSP00000370345
7227.FBpp0087307 9606.ENSP00000414851
7227.FBpp0073572 9606.ENSP00000378414
7227.FBpp0081062 9606.ENSP00000301071
7227.FBpp0293341 9606.ENSP00000432768
7227.FBpp0110418 9606.ENSP00000343027
7227.FBpp0081548 9606.ENSP00000358126
7227.FBpp0079833 9606.ENSP00000305459
7227.FBpp0081262 9606.ENSP00000420608
7227.FBpp0075265 9606.ENSP00000342755
7227.FBpp0070455 9606.ENSP00000008527
7227.FBpp0082737 9606.ENSP00000246166
7227.FBpp0075397 9606.ENSP00000301522
7227.FBpp0088489 9606.ENSP00000303507
7227.FBpp0084912 9606.ENSP00000287482
7227.FBpp0082106 9606.ENSP00000367623
7227.FBpp0082600 9606.ENSP00000296271
7227.FBpp0079369 9606.ENSP00000370034
7227.FBpp0079104 9606.ENSP00000450995
7227.FBpp0079008 9606.ENSP00000264380
7227.FBpp0073893 9606.ENSP00000218089
7227.FBpp0076750 9606.ENSP00000218099
7227.FBpp0078742 9606.ENSP00000270538
7227.FBpp0083183 9606.ENSP00000341044
7227.FBpp0070871 9606.ENSP00000342056
7227.FBpp0078604 9606.ENSP00000370473
7227.FBpp0303122 9606.ENSP00000358548
7227.FBpp0075754 9606.ENSP00000220849
7227.FBpp0081491 9606.ENSP00000262850
7227.FBpp0291447 9606.ENSP00000419038
7227.FBpp0089424 9606.ENSP00000322419
7227.FBpp0075618 9606.ENSP00000250784
7227.FBpp0073719 9606.ENSP00000308275
7227.FBpp0083569 9606.ENSP00000363999
7227.FBpp0073316 9606.ENSP00000222969
7227.FBpp0082758 9606.ENSP00000158771
7227.FBpp0087724 9606.ENSP00000347329
7227.FBpp0293496 9606.ENSP00000320949
7227.FBpp0076122 9606.ENSP00000248437
7227.FBpp0083245 9606.ENSP00000367992
7227.FBpp0291631 9606.ENSP00000387946
7227.FBpp0111797 9606.ENSP00000364893
7227.FBpp0087353 9606.ENSP00000347464
7227.FBpp0085324 9606.ENSP00000280700
7227.FBpp0086676 9606.ENSP00000265963
7227.FBpp0079115 9606.ENSP00000333982
7227.FBpp0080759 9606.ENSP00000358414
7227.FBpp0071971 9606.ENSP00000312664
7227.FBpp0078691 9606.ENSP00000363822
7227.FBpp0074536 9606.ENSP00000260867
7227.FBpp0086720 9606.ENSP00000386156
7227.FBpp0075701 9606.ENSP00000263754
7227.FBpp0072658 9606.ENSP00000378295
7227.FBpp0083263 9606.ENSP00000358563
7227.FBpp0090943 9606.ENSP00000232888
7227.FBpp0070782 9606.ENSP00000351314
7227.FBpp0084626 9606.ENSP00000392094
7227.FBpp0071518 9606.ENSP00000294189
7227.FBpp0085148 9606.ENSP00000263791
7227.FBpp0074151 9606.ENSP00000272348
7227.FBpp0075317 9606.ENSP00000428619
7227.FBpp0293882 9606.ENSP00000301633
7227.FBpp0289146 9606.ENSP00000358605
7227.FBpp0079664 9606.ENSP00000301067
7227.FBpp0083105 9606.ENSP00000238112
7227.FBpp0289058 9606.ENSP00000307188
7227.FBpp0071461 9606.ENSP00000263168
7227.FBpp0077909 9606.ENSP00000349016
7227.FBpp0082592 9606.ENSP00000291574
7227.FBpp0087164 9606.ENSP00000300289
7227.FBpp0304412 9606.ENSP00000307208
7227.FBpp0289521 9606.ENSP00000302114
7227.FBpp0289337 9606.ENSP00000278742
7227.FBpp0089396 9606.ENSP00000228284
7227.FBpp0075690 9606.ENSP00000450635
7227.FBpp0303118 9606.ENSP00000264645
7227.FBpp0091063 9606.ENSP00000265081
7227.FBpp0091127 9606.ENSP00000406490
7227.FBpp0073678 9606.ENSP00000349393
7227.FBpp0303588 9606.ENSP00000268379
7227.FBpp0088181 9606.ENSP00000300574
7227.FBpp0075751 9606.ENSP00000326531
7227.FBpp0304268 9606.ENSP00000215587
7227.FBpp0077415 9606.ENSP00000351284
7227.FBpp0086441 9606.ENSP00000244741
7227.FBpp0293589 9606.ENSP00000339527
7227.FBpp0099904 9606.ENSP00000283875
7227.FBpp0080233 9606.ENSP00000229251
7227.FBpp0075631 9606.ENSP00000341082
7227.FBpp0087189 9606.ENSP00000368699
7227.FBpp0075088 9606.ENSP00000251968
7227.FBpp0306232 9606.ENSP00000339027
7227.FBpp0071295 9606.ENSP00000472469
7227.FBpp0079168 9606.ENSP00000404375
7227.FBpp0086269 9606.ENSP00000467676
7227.FBpp0080227 9606.ENSP00000261427
7227.FBpp0071052 9606.ENSP00000346045
7227.FBpp0070457 9606.ENSP00000445077
7227.FBpp0080488 9606.ENSP00000252622
7227.FBpp0078624 9606.ENSP00000199814
7227.FBpp0072463 9606.ENSP00000362803
7227.FBpp0081261 9606.ENSP00000356290
7227.FBpp0088528 9606.ENSP00000360938
7227.FBpp0082105 9606.ENSP00000364805
7227.FBpp0079710 9606.ENSP00000229179
7227.FBpp0289914 9606.ENSP00000296257
7227.FBpp0081584 9606.ENSP00000362937
7227.FBpp0083604 9606.ENSP00000385432
7227.FBpp0086341 9606.ENSP00000287490
7227.FBpp0288461 9606.ENSP00000352522
7227.FBpp0077130 9606.ENSP00000274137
7227.FBpp0077206 9606.ENSP00000368831
7227.FBpp0077151 9606.ENSP00000401435
7227.FBpp0078896 9606.ENSP00000376472
7227.FBpp0087663 9606.ENSP00000257181
7227.FBpp0075275 9606.ENSP00000292599
7227.FBpp0088783 9606.ENSP00000222266
7227.FBpp0071063 9606.ENSP00000229416
7227.FBpp0289671 9606.ENSP00000219240
7227.FBpp0080103 9606.ENSP00000322142
7227.FBpp0081910 9606.ENSP00000310356
7227.FBpp0083549 9606.ENSP00000260746
7227.FBpp0091113 9606.ENSP00000289316
7227.FBpp0078164 9606.ENSP00000447300
7227.FBpp0289999 9606.ENSP00000260270
7227.FBpp0084801 9606.ENSP00000233025
7227.FBpp0085852 9606.ENSP00000381607
7227.FBpp0291538 9606.ENSP00000367064
7227.FBpp0070907 9606.ENSP00000282516
7227.FBpp0072065 9606.ENSP00000364589
7227.FBpp0076775 9606.ENSP00000353393
7227.FBpp0271847 9606.ENSP00000435619
7227.FBpp0086326 9606.ENSP00000217901
7227.FBpp0083185 9606.ENSP00000369857
7227.FBpp0074184 9606.ENSP00000380427
7227.FBpp0073866 9606.ENSP00000292614
7227.FBpp0077946 9606.ENSP00000299853
7227.FBpp0083926 9606.ENSP00000215980
7227.FBpp0081786 9606.ENSP00000340823
7227.FBpp0076789 9606.ENSP00000378356
7227.FBpp0081484 9606.ENSP00000356541
7227.FBpp0075772 9606.ENSP00000363993
7227.FBpp0075684 9606.ENSP00000300413
7227.FBpp0294012 9606.ENSP00000255465
7227.FBpp0081476 9606.ENSP00000377617
7227.FBpp0293502 9606.ENSP00000349467
7227.FBpp0082065 9606.ENSP00000270225
7227.FBpp0075755 9606.ENSP00000369176
7227.FBpp0070259 9606.ENSP00000220509
7227.FBpp0085821 9606.ENSP00000265395
7227.FBpp0087735 9606.ENSP00000401721
7227.FBpp0080062 9606.ENSP00000315476
7227.FBpp0070795 9606.ENSP00000347206
7227.FBpp0088688 9606.ENSP00000355537
7227.FBpp0303726 9606.ENSP00000347169
7227.FBpp0084463 9606.ENSP00000346694
7227.FBpp0075839 9606.ENSP00000364270
7227.FBpp0085689 9606.ENSP00000340271
7227.FBpp0071350 9606.ENSP00000362131
7227.FBpp0074318 9606.ENSP00000303706
7227.FBpp0293883 9606.ENSP00000285735
7227.FBpp0071571 9606.ENSP00000275493
7227.FBpp0303920 9606.ENSP00000347345
7227.FBpp0075318 9606.ENSP00000263073
7227.FBpp0297417 9606.ENSP00000364976
7227.FBpp0076464 9606.ENSP00000352121
7227.FBpp0071303 9606.ENSP00000380313
7227.FBpp0303780 9606.ENSP00000253788
7227.FBpp0080870 9606.ENSP00000295491
7227.FBpp0071587 9606.ENSP00000248342
7227.FBpp0075700 9606.ENSP00000266126
7227.FBpp0073963 9606.ENSP00000243997
7227.FBpp0075713 9606.ENSP00000314615
7227.FBpp0074687 9606.ENSP00000398597
7227.FBpp0099808 9606.ENSP00000349508
7227.FBpp0071973 9606.ENSP00000262039
7227.FBpp0087524 9606.ENSP00000265563
7227.FBpp0099478 9606.ENSP00000338283
7227.FBpp0087280 9606.ENSP00000226209
7227.FBpp0077735 9606.ENSP00000413572
7227.FBpp0085145 9606.ENSP00000324806
7227.FBpp0072593 9606.ENSP00000434359
7227.FBpp0084130 9606.ENSP00000369055
7227.FBpp0084519 9606.ENSP00000358223
7227.FBpp0072660 9606.ENSP00000320866
7227.FBpp0087254 9606.ENSP00000334145
7227.FBpp0075634 9606.ENSP00000302393
7227.FBpp0091121 9606.ENSP00000265849
7227.FBpp0071028 9606.ENSP00000353793
7227.FBpp0291394 9606.ENSP00000250971
7227.FBpp0081099 9606.ENSP00000310491
7227.FBpp0082893 9606.ENSP00000448323
7227.FBpp0081253 9606.ENSP00000312709
7227.FBpp0087461 9606.ENSP00000454836
7227.FBpp0305462 9606.ENSP00000225577
7227.FBpp0087319 9606.ENSP00000355325
7227.FBpp0073144 9606.ENSP00000382250
7227.FBpp0071771 9606.ENSP00000053468
7227.FBpp0293210 9606.ENSP00000298428
7227.FBpp0080102 9606.ENSP00000377640
7227.FBpp0077142 9606.ENSP00000346015
7227.FBpp0300615 9606.ENSP00000346050
7227.FBpp0071050 9606.ENSP00000346037
7227.FBpp0074660 9606.ENSP00000315379
7227.FBpp0071217 9606.ENSP00000257829
7227.FBpp0073947 9606.ENSP00000216554
7227.FBpp0075952 9606.ENSP00000263202
7227.FBpp0080255 9606.ENSP00000300087
7227.FBpp0079059 9606.ENSP00000371236
7227.FBpp0088675 9606.ENSP00000321584
7227.FBpp0075387 9606.ENSP00000361699
7227.FBpp0083611 9606.ENSP00000320171
7227.FBpp0084948 9606.ENSP00000229270
7227.FBpp0081370 9606.ENSP00000229277
7227.FBpp0083195 9606.ENSP00000371155
7227.FBpp0079788 9606.ENSP00000251074
7227.FBpp0070347 9606.ENSP00000262189
7227.FBpp0071061 9606.ENSP00000303351
7227.FBpp0080836 9606.ENSP00000253452
7227.FBpp0081459 9606.ENSP00000369810
7227.FBpp0297300 9606.ENSP00000355217
7227.FBpp0076849 9606.ENSP00000225567
7227.FBpp0085181 9606.ENSP00000263209
7227.FBpp0072151 9606.ENSP00000278412
7227.FBpp0086348 9606.ENSP00000265564
7227.FBpp0080319 9606.ENSP00000230640
7227.FBpp0081197 9606.ENSP00000253004
