!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9549 75.261419
!Global Score: 6706.878425825009
4932.YLR028C 7227.FBpp0290556
4932.YOR065W 7227.FBpp0076848
4932.YPR025C 7227.FBpp0082469
4932.YNL061W 7227.FBpp0087045
4932.YFL039C 7227.FBpp0074318
4932.YPL213W 7227.FBpp0305943
4932.YIL071C 7227.FBpp0070782
4932.YDR500C 7227.FBpp0075104
4932.YDR398W 7227.FBpp0112147
4932.YHR010W 7227.FBpp0070430
4932.YDR325W 7227.FBpp0074184
4932.YLL026W 7227.FBpp0082652
4932.YDL143W 7227.FBpp0079992
4932.YLR078C 7227.FBpp0288515
4932.YDR260C 7227.FBpp0085724
4932.YPL091W 7227.FBpp0110197
4932.YDL182W 7227.FBpp0291001
4932.YDR208W 7227.FBpp0086616
4932.YJR140C 7227.FBpp0077218
4932.YLR174W 7227.FBpp0083183
4932.YHR064C 7227.FBpp0080395
4932.YCR033W 7227.FBpp0305909
4932.YJL112W 7227.FBpp0085363
4932.YOR101W 7227.FBpp0293883
4932.YJL085W 7227.FBpp0076339
4932.YPR131C 7227.FBpp0304758
4932.YBR201W 7227.FBpp0082758
4932.YGL006W 7227.FBpp0088502
4932.YLR027C 7227.FBpp0077537
4932.YER068W 7227.FBpp0304028
4932.YLR342W 7227.FBpp0297103
4932.YOR085W 7227.FBpp0079233
4932.YLR450W 7227.FBpp0072135
4932.YGR231C 7227.FBpp0111775
4932.YDR323C 7227.FBpp0087203
4932.YGL187C 7227.FBpp0082459
4932.YNL189W 7227.FBpp0074650
4932.YOL120C 7227.FBpp0076602
4932.YIL150C 7227.FBpp0088055
4932.YLR052W 7227.FBpp0088543
4932.YPL266W 7227.FBpp0084729
4932.YPR112C 7227.FBpp0076112
4932.YAL025C 7227.FBpp0071198
4932.YJL194W 7227.FBpp0076371
4932.YHR143W-A 7227.FBpp0088179
4932.YBR198C 7227.FBpp0087335
4932.YDR496C 7227.FBpp0076918
4932.YGL171W 7227.FBpp0074936
4932.YMR286W 7227.FBpp0075425
4932.YHR147C 7227.FBpp0081384
4932.YBR173C 7227.FBpp0304788
4932.YDL087C 7227.FBpp0292041
4932.YML046W 7227.FBpp0305600
4932.YFL034C-A 7227.FBpp0291448
4932.YHL002W 7227.FBpp0291079
4932.YKR083C 7227.FBpp0091129
4932.YOR232W 7227.FBpp0083974
4932.YGR254W 7227.FBpp0073922
4932.YIL142W 7227.FBpp0071226
4932.YDR341C 7227.FBpp0305104
4932.YJL111W 7227.FBpp0081401
4932.YJL036W 7227.FBpp0076111
4932.YGR194C 7227.FBpp0080581
4932.YLR095C 7227.FBpp0074686
4932.YDL035C 7227.FBpp0070618
4932.YOR349W 7227.FBpp0071024
4932.YBL093C 7227.FBpp0076417
4932.YLR071C 7227.FBpp0072453
4932.YGR120C 7227.FBpp0082568
4932.YOR212W 7227.FBpp0089182
4932.YDR495C 7227.FBpp0084210
4932.YNL112W 7227.FBpp0071084
4932.YLR293C 7227.FBpp0073328
4932.YER112W 7227.FBpp0099642
4932.YDR052C 7227.FBpp0080967
4932.YOR287C 7227.FBpp0082445
4932.YER126C 7227.FBpp0079607
4932.YMR223W 7227.FBpp0288698
4932.YOL148C 7227.FBpp0071543
4932.YPR187W 7227.FBpp0078433
4932.YLR002C 7227.FBpp0081117
4932.YNL261W 7227.FBpp0080120
4932.YKL006W 7227.FBpp0079168
4932.YLR448W 7227.FBpp0302048
4932.YER125W 7227.FBpp0083898
4932.YHR120W 7227.FBpp0086954
4932.YJL200C 7227.FBpp0075605
4932.YJL001W 7227.FBpp0086400
4932.YKR066C 7227.FBpp0087782
4932.YJR035W 7227.FBpp0070624
4932.YER087C-B 7227.FBpp0085607
4932.YHR041C 7227.FBpp0071684
4932.YER157W 7227.FBpp0077262
4932.YLR248W 7227.FBpp0070802
4932.YAL021C 7227.FBpp0083954
4932.YKR035W-A 7227.FBpp0074859
4932.YDR002W 7227.FBpp0293235
4932.YBR084C-A 7227.FBpp0071958
4932.YBR189W 7227.FBpp0087115
4932.YJL140W 7227.FBpp0302530
4932.YDR324C 7227.FBpp0305742
4932.YMR190C 7227.FBpp0075399
4932.YGR159C 7227.FBpp0303200
4932.YDR416W 7227.FBpp0077353
4932.YKL049C 7227.FBpp0086787
4932.YJL203W 7227.FBpp0075048
4932.YPL198W 7227.FBpp0084989
4932.YOR133W 7227.FBpp0075148
4932.YNL021W 7227.FBpp0091096
4932.YKR080W 7227.FBpp0070620
4932.YGR248W 7227.FBpp0070368
4932.YJR009C 7227.FBpp0086215
4932.YOR393W 7227.FBpp0070679
4932.YPR001W 7227.FBpp0300338
4932.YAL054C 7227.FBpp0078067
4932.YML124C 7227.FBpp0081153
4932.YFL005W 7227.FBpp0303201
4932.YHR020W 7227.FBpp0071302
4932.YML029W 7227.FBpp0292725
4932.YER147C 7227.FBpp0112469
4932.YCR052W 7227.FBpp0297991
4932.YOL013C 7227.FBpp0303146
4932.YGL044C 7227.FBpp0083075
4932.YBR097W 7227.FBpp0081466
4932.YPL028W 7227.FBpp0071095
4932.YMR242C 7227.FBpp0086103
4932.YGL130W 7227.FBpp0071822
4932.YGR252W 7227.FBpp0077401
4932.YER171W 7227.FBpp0071503
4932.YLR127C 7227.FBpp0072065
4932.YDR432W 7227.FBpp0070652
4932.YMR189W 7227.FBpp0088528
4932.YPR006C 7227.FBpp0288532
4932.YNL071W 7227.FBpp0112201
4932.YDL161W 7227.FBpp0089151
4932.YPR016C 7227.FBpp0087343
4932.YMR153W 7227.FBpp0087861
4932.YGL129C 7227.FBpp0080870
4932.YLL001W 7227.FBpp0082996
4932.YLR386W 7227.FBpp0081548
4932.YBL018C 7227.FBpp0076478
4932.YHR062C 7227.FBpp0077802
4932.YKR029C 7227.FBpp0305937
4932.YHR084W 7227.FBpp0088146
4932.YDL159W 7227.FBpp0083206
4932.YFR037C 7227.FBpp0073173
4932.YBL088C 7227.FBpp0110174
4932.YNL250W 7227.FBpp0290882
4932.YDR164C 7227.FBpp0071045
4932.YOL149W 7227.FBpp0074970
4932.YPL086C 7227.FBpp0077129
4932.YLL041C 7227.FBpp0305654
4932.YER009W 7227.FBpp0305904
4932.YDR139C 7227.FBpp0080733
4932.YOL072W 7227.FBpp0071583
4932.YPR143W 7227.FBpp0082462
4932.YKR025W 7227.FBpp0077946
4932.YNL151C 7227.FBpp0292147
4932.YJR002W 7227.FBpp0079305
4932.YJL109C 7227.FBpp0078971
4932.YIL066C 7227.FBpp0079812
4932.YNL284C 7227.FBpp0078694
4932.YPL013C 7227.FBpp0071462
4932.YMR075W 7227.FBpp0091072
4932.YDL105W 7227.FBpp0084565
4932.YEL021W 7227.FBpp0083440
4932.YAL062W 7227.FBpp0297083
4932.YER148W 7227.FBpp0071596
4932.YJL102W 7227.FBpp0081596
4932.YLR292C 7227.FBpp0075209
4932.YJR074W 7227.FBpp0078984
4932.YKL193C 7227.FBpp0303578
4932.YDR244W 7227.FBpp0070351
4932.YCL043C 7227.FBpp0087164
4932.YKL053C-A 7227.FBpp0271806
4932.YDR057W 7227.FBpp0079892
4932.YPL042C 7227.FBpp0076098
4932.YDR484W 7227.FBpp0078760
4932.YPR141C 7227.FBpp0075762
4932.YGL175C 7227.FBpp0081861
4932.YDR498C 7227.FBpp0083076
4932.YOR361C 7227.FBpp0087648
4932.YLR447C 7227.FBpp0075822
4932.YBL045C 7227.FBpp0074984
4932.YCR072C 7227.FBpp0077735
4932.YCL031C 7227.FBpp0078856
4932.YOL010W 7227.FBpp0073651
4932.YER082C 7227.FBpp0071142
4932.YPR162C 7227.FBpp0297417
4932.YKR086W 7227.FBpp0073717
4932.YOR074C 7227.FBpp0077363
4932.YCR077C 7227.FBpp0071553
4932.YMR194W 7227.FBpp0099610
4932.YHL004W 7227.FBpp0083663
4932.YFR027W 7227.FBpp0073201
4932.YCR005C 7227.FBpp0082025
4932.YKL203C 7227.FBpp0080003
4932.YGR098C 7227.FBpp0072616
4932.YMR145C 7227.FBpp0085425
4932.YGR134W 7227.FBpp0079380
4932.YNL175C 7227.FBpp0302741
4932.YHR030C 7227.FBpp0303394
4932.YCR065W 7227.FBpp0293589
4932.YIL065C 7227.FBpp0081475
4932.YBR140C 7227.FBpp0083406
4932.YMR015C 7227.FBpp0088437
4932.YPR034W 7227.FBpp0303347
4932.YML130C 7227.FBpp0081581
4932.YNL298W 7227.FBpp0074060
4932.YER019C-A 7227.FBpp0072968
4932.YJL106W 7227.FBpp0086483
4932.YCL045C 7227.FBpp0081262
4932.YLR088W 7227.FBpp0088455
4932.YHR013C 7227.FBpp0076077
4932.YPL061W 7227.FBpp0079406
4932.YMR183C 7227.FBpp0070471
4932.Q0070 7227.FBpp0074584
4932.YOR117W 7227.FBpp0083843
4932.YGL147C 7227.FBpp0083376
4932.YBL072C 7227.FBpp0099686
4932.YKL143W 7227.FBpp0087340
4932.YHR027C 7227.FBpp0074662
4932.YMR001C 7227.FBpp0074608
4932.YKL125W 7227.FBpp0083625
4932.YDR145W 7227.FBpp0081916
4932.YML064C 7227.FBpp0087680
4932.YDL209C 7227.FBpp0088015
4932.YLR298C 7227.FBpp0083134
4932.YBL008W 7227.FBpp0071028
4932.YPL209C 7227.FBpp0091099
4932.YPL079W 7227.FBpp0079536
4932.YNL185C 7227.FBpp0305877
4932.YBR082C 7227.FBpp0073471
4932.YHL030W 7227.FBpp0087969
4932.YAL035W 7227.FBpp0301570
4932.YJR089W 7227.FBpp0091127
4932.YBR188C 7227.FBpp0298005
4932.YLR167W 7227.FBpp0084761
4932.YNL088W 7227.FBpp0078831
4932.YOL056W 7227.FBpp0078083
4932.YNL117W 7227.FBpp0111967
4932.YFR051C 7227.FBpp0070355
4932.YOR075W 7227.FBpp0080808
4932.YFR028C 7227.FBpp0085368
4932.YKL211C 7227.FBpp0077773
4932.YCR088W 7227.FBpp0079732
4932.YOR360C 7227.FBpp0305507
4932.YLR045C 7227.FBpp0293341
4932.YOR375C 7227.FBpp0088988
4932.YPL204W 7227.FBpp0085104
4932.YIL146C 7227.FBpp0078775
4932.YLR240W 7227.FBpp0071973
4932.YKR009C 7227.FBpp0074843
4932.YHR024C 7227.FBpp0087958
4932.YJL061W 7227.FBpp0085954
4932.YKL145W 7227.FBpp0088021
4932.YNL067W 7227.FBpp0079752
4932.YOR039W 7227.FBpp0072151
4932.YGL111W 7227.FBpp0291670
4932.YHR072W-A 7227.FBpp0087347
4932.YPL254W 7227.FBpp0077111
4932.YCR042C 7227.FBpp0076090
4932.YBL023C 7227.FBpp0082329
4932.YBL084C 7227.FBpp0305184
4932.YGR092W 7227.FBpp0079769
4932.YMR055C 7227.FBpp0078977
4932.YIL069C 7227.FBpp0071050
4932.YGL076C 7227.FBpp0305182
4932.YIL007C 7227.FBpp0077381
4932.YPL181W 7227.FBpp0091078
4932.YBR079C 7227.FBpp0075754
4932.YMR117C 7227.FBpp0091119
4932.YHR174W 7227.FBpp0077572
4932.YJR031C 7227.FBpp0087010
4932.YDR472W 7227.FBpp0084326
4932.YMR199W 7227.FBpp0304499
4932.YDL190C 7227.FBpp0082743
4932.YNL280C 7227.FBpp0289444
4932.YDR146C 7227.FBpp0088245
4932.YBL016W 7227.FBpp0075520
4932.YBR200W 7227.FBpp0293662
4932.YDR407C 7227.FBpp0079332
4932.YDR390C 7227.FBpp0076457
4932.YER027C 7227.FBpp0087705
4932.YGL180W 7227.FBpp0302863
4932.YDL047W 7227.FBpp0077016
4932.YKL080W 7227.FBpp0086218
4932.YDL116W 7227.FBpp0087936
4932.YPL167C 7227.FBpp0087907
4932.YHR089C 7227.FBpp0071562
4932.YGL207W 7227.FBpp0289644
4932.YGR116W 7227.FBpp0070861
4932.YLL011W 7227.FBpp0075302
4932.YOR123C 7227.FBpp0078353
4932.YDR163W 7227.FBpp0087342
4932.YDL008W 7227.FBpp0083687
4932.YKL012W 7227.FBpp0077333
4932.YGL086W 7227.FBpp0091151
4932.YKL095W 7227.FBpp0082897
4932.YNR036C 7227.FBpp0073910
4932.YLR272C 7227.FBpp0080890
4932.YML100W 7227.FBpp0073310
4932.YGL210W 7227.FBpp0300803
4932.YAL005C 7227.FBpp0082107
4932.YDR075W 7227.FBpp0298351
4932.YDL139C 7227.FBpp0305207
4932.YMR198W 7227.FBpp0075683
4932.YER129W 7227.FBpp0290554
4932.YMR044W 7227.FBpp0079907
4932.YLR459W 7227.FBpp0079294
4932.YDR331W 7227.FBpp0070333
4932.YLR239C 7227.FBpp0078583
4932.YPL135W 7227.FBpp0081412
4932.YPL174C 7227.FBpp0075498
4932.YGL011C 7227.FBpp0085100
4932.YDL075W 7227.FBpp0087608
4932.YNL102W 7227.FBpp0085619
4932.YIL021W 7227.FBpp0080121
4932.YPR190C 7227.FBpp0304829
4932.YDL153C 7227.FBpp0070719
4932.YDR190C 7227.FBpp0081704
4932.YNL290W 7227.FBpp0086853
4932.YDR116C 7227.FBpp0086531
4932.YDL056W 7227.FBpp0305835
4932.YLR383W 7227.FBpp0071448
4932.YER031C 7227.FBpp0072746
4932.YBR123C 7227.FBpp0303588
4932.YNL281W 7227.FBpp0083050
4932.YDL006W 7227.FBpp0301190
4932.YBR011C 7227.FBpp0070584
4932.YBR171W 7227.FBpp0079495
4932.YIR017C 7227.FBpp0084931
4932.YLR330W 7227.FBpp0110338
4932.YPL239W 7227.FBpp0305778
4932.YMR207C 7227.FBpp0297101
4932.YGR181W 7227.FBpp0075820
4932.YBR245C 7227.FBpp0306192
4932.YBR253W 7227.FBpp0076599
4932.YEL003W 7227.FBpp0304954
4932.YGL002W 7227.FBpp0292157
4932.YHR068W 7227.FBpp0076418
4932.YER015W 7227.FBpp0071532
4932.YGR009C 7227.FBpp0072145
4932.YGL173C 7227.FBpp0291292
4932.YPL234C 7227.FBpp0077209
4932.YDL067C 7227.FBpp0100177
4932.Q0085 7227.FBpp0083141
4932.YGL191W 7227.FBpp0071970
4932.YAR002W 7227.FBpp0082467
4932.YOR293W 7227.FBpp0074500
4932.YER056C-A 7227.FBpp0081527
4932.YDL002C 7227.FBpp0082979
4932.YLR196W 7227.FBpp0087323
4932.YGR047C 7227.FBpp0079164
4932.YGL150C 7227.FBpp0083185
4932.YDR482C 7227.FBpp0077778
4932.YDR012W 7227.FBpp0302563
4932.YER131W 7227.FBpp0075700
4932.YGR129W 7227.FBpp0076003
4932.YLR044C 7227.FBpp0077406
4932.YKL166C 7227.FBpp0288669
4932.YBR109C 7227.FBpp0293502
4932.YDL137W 7227.FBpp0289184
4932.YJL081C 7227.FBpp0086115
4932.YLR102C 7227.FBpp0083354
4932.YDR028C 7227.FBpp0081544
4932.YNL325C 7227.FBpp0079203
4932.YJL099W 7227.FBpp0086545
4932.YGL115W 7227.FBpp0074229
4932.YGL009C 7227.FBpp0083720
4932.YMR022W 7227.FBpp0078490
4932.YMR218C 7227.FBpp0084936
4932.YPL045W 7227.FBpp0081459
4932.YBR112C 7227.FBpp0079664
4932.YJR077C 7227.FBpp0292847
4932.YML081C-A 7227.FBpp0086272
4932.YFR002W 7227.FBpp0073659
4932.YDR176W 7227.FBpp0082011
4932.YBR081C 7227.FBpp0075701
4932.YOL005C 7227.FBpp0080564
4932.YGR186W 7227.FBpp0073090
4932.YML010W 7227.FBpp0085716
4932.YGR090W 7227.FBpp0082727
4932.YJL063C 7227.FBpp0073524
4932.YMR076C 7227.FBpp0081099
4932.YMR120C 7227.FBpp0292529
4932.YAL044C 7227.FBpp0078066
4932.YOR281C 7227.FBpp0075609
4932.YNL243W 7227.FBpp0075680
4932.YDR212W 7227.FBpp0083683
4932.YOR144C 7227.FBpp0078516
4932.YGL134W 7227.FBpp0080402
4932.YML102W 7227.FBpp0290602
4932.YBL064C 7227.FBpp0071181
4932.YLR191W 7227.FBpp0077679
4932.YDL113C 7227.FBpp0076722
4932.YLR008C 7227.FBpp0086795
4932.YIL094C 7227.FBpp0072200
4932.YFL044C 7227.FBpp0303184
4932.YER008C 7227.FBpp0077208
4932.YMR138W 7227.FBpp0083549
4932.YDL040C 7227.FBpp0074480
4932.YGL019W 7227.FBpp0089135
4932.YNL222W 7227.FBpp0112455
4932.YGL211W 7227.FBpp0087712
4932.YGR072W 7227.FBpp0084171
4932.YDL088C 7227.FBpp0301099
4932.YOL038W 7227.FBpp0073989
4932.YOR369C 7227.FBpp0075612
4932.YGL003C 7227.FBpp0071222
4932.YDR087C 7227.FBpp0080052
4932.YPL043W 7227.FBpp0072239
4932.YGR258C 7227.FBpp0078093
4932.YKR062W 7227.FBpp0070177
4932.YNL132W 7227.FBpp0071217
4932.YNR011C 7227.FBpp0290264
4932.YDR243C 7227.FBpp0071259
4932.YBR251W 7227.FBpp0081380
4932.YBL038W 7227.FBpp0075631
4932.YGR113W 7227.FBpp0091155
4932.YMR146C 7227.FBpp0088565
4932.YDL030W 7227.FBpp0289146
4932.YMR205C 7227.FBpp0087506
4932.YMR068W 7227.FBpp0074588
4932.YDR238C 7227.FBpp0074348
4932.YNL287W 7227.FBpp0303129
4932.YPR181C 7227.FBpp0086812
4932.YJR060W 7227.FBpp0081483
4932.YMR214W 7227.FBpp0077720
4932.YPR055W 7227.FBpp0078326
4932.YMR089C 7227.FBpp0078469
4932.YCR073C 7227.FBpp0305425
4932.YOR196C 7227.FBpp0288705
4932.YBR110W 7227.FBpp0086475
4932.YDR228C 7227.FBpp0303281
4932.YNL182C 7227.FBpp0070299
4932.YMR230W 7227.FBpp0084564
4932.YGR109C 7227.FBpp0083769
4932.YHR058C 7227.FBpp0078013
4932.YER006W 7227.FBpp0082867
4932.YML093W 7227.FBpp0075317
4932.YBR156C 7227.FBpp0091141
4932.YDL028C 7227.FBpp0091143
4932.YJL074C 7227.FBpp0304252
4932.YDR171W 7227.FBpp0070395
4932.YDL171C 7227.FBpp0071272
4932.YLR259C 7227.FBpp0073290
4932.YPL007C 7227.FBpp0081168
4932.YBL046W 7227.FBpp0076326
4932.YJR005W 7227.FBpp0077410
4932.YOL094C 7227.FBpp0073890
4932.YLR166C 7227.FBpp0083932
4932.YER042W 7227.FBpp0303210
4932.YCR081W 7227.FBpp0111743
4932.YDR468C 7227.FBpp0301847
4932.YPL232W 7227.FBpp0080389
4932.YOL139C 7227.FBpp0070242
4932.YPL101W 7227.FBpp0078729
4932.YKR054C 7227.FBpp0304991
4932.YFR034C 7227.FBpp0087189
4932.YDR328C 7227.FBpp0070118
4932.YPR120C 7227.FBpp0294012
4932.YDR460W 7227.FBpp0087350
4932.YPL126W 7227.FBpp0113107
4932.YMR093W 7227.FBpp0070382
4932.YDL148C 7227.FBpp0082928
4932.YJL124C 7227.FBpp0077630
4932.YJR113C 7227.FBpp0082540
4932.YPR094W 7227.FBpp0078894
4932.YOR033C 7227.FBpp0079609
4932.YDR092W 7227.FBpp0099945
4932.YPR035W 7227.FBpp0073344
4932.YGR188C 7227.FBpp0075690
4932.YGL005C 7227.FBpp0082093
4932.YNL242W 7227.FBpp0080039
4932.YNL167C 7227.FBpp0079254
4932.YOL067C 7227.FBpp0087169
4932.YML127W 7227.FBpp0070864
4932.YNL062C 7227.FBpp0078961
4932.YIL004C 7227.FBpp0074758
4932.YBR221C 7227.FBpp0084735
4932.Q0065 7227.FBpp0100187
4932.YOR046C 7227.FBpp0079788
4932.YIL115C 7227.FBpp0083695
4932.YDR335W 7227.FBpp0074528
4932.YDR489W 7227.FBpp0083800
4932.YPR102C 7227.FBpp0085717
4932.YGL120C 7227.FBpp0088040
4932.YNL081C 7227.FBpp0291479
4932.YOR150W 7227.FBpp0077550
4932.YKL216W 7227.FBpp0289671
4932.YOL062C 7227.FBpp0083646
4932.YKL194C 7227.FBpp0087757
4932.YPL219W 7227.FBpp0296952
4932.YKL186C 7227.FBpp0081156
4932.YER075C 7227.FBpp0290910
4932.YDR121W 7227.FBpp0304598
4932.YBR102C 7227.FBpp0084351
4932.YDR181C 7227.FBpp0080674
4932.YDL005C 7227.FBpp0081639
4932.YLR200W 7227.FBpp0303214
4932.YDR140W 7227.FBpp0099795
4932.YHR005C 7227.FBpp0087359
4932.YDL149W 7227.FBpp0071023
4932.YNL119W 7227.FBpp0303745
4932.YBR229C 7227.FBpp0070057
4932.YJL045W 7227.FBpp0112484
4932.YPL084W 7227.FBpp0076869
4932.YJR102C 7227.FBpp0087774
4932.YDR322C-A 7227.FBpp0083071
4932.YMR167W 7227.FBpp0074246
4932.YOR261C 7227.FBpp0303270
4932.YLR441C 7227.FBpp0070143
4932.YJL187C 7227.FBpp0076824
4932.YDL208W 7227.FBpp0305289
4932.YHR052W 7227.FBpp0079306
4932.YPL217C 7227.FBpp0075034
4932.YLR175W 7227.FBpp0099583
4932.YLR418C 7227.FBpp0072743
4932.YGL240W 7227.FBpp0086107
4932.YBL074C 7227.FBpp0072463
4932.YDR510W 7227.FBpp0073101
4932.YDL202W 7227.FBpp0086965
4932.YPR108W 7227.FBpp0080028
4932.YBR195C 7227.FBpp0071172
4932.YNL330C 7227.FBpp0085281
4932.YAR015W 7227.FBpp0112656
4932.YMR105C 7227.FBpp0075247
4932.YLR229C 7227.FBpp0099922
4932.YOL016C 7227.FBpp0289608
4932.YFL037W 7227.FBpp0081524
4932.YDL145C 7227.FBpp0072693
4932.YGL078C 7227.FBpp0301175
4932.YGR184C 7227.FBpp0081445
4932.YBR211C 7227.FBpp0305541
4932.YIL050W 7227.FBpp0082849
4932.YLR288C 7227.FBpp0070404
4932.YIR006C 7227.FBpp0302767
4932.YNL084C 7227.FBpp0071061
4932.YML001W 7227.FBpp0083503
4932.YNL051W 7227.FBpp0080552
4932.YGL226C-A 7227.FBpp0073355
4932.YGL022W 7227.FBpp0084161
4932.Q0110 7227.FBpp0074481
4932.YJR121W 7227.FBpp0305117
4932.YDR025W 7227.FBpp0071052
4932.YDL042C 7227.FBpp0081910
4932.YBL027W 7227.FBpp0072312
4932.YOR096W 7227.FBpp0079328
4932.YLR274W 7227.FBpp0081756
4932.YNL025C 7227.FBpp0305335
4932.YIR008C 7227.FBpp0081029
4932.YHR021C 7227.FBpp0074554
4932.YBR237W 7227.FBpp0073828
4932.YLR424W 7227.FBpp0078765
4932.YOL039W 7227.FBpp0073144
4932.YBR095C 7227.FBpp0085250
4932.YLR115W 7227.FBpp0091113
4932.YBR001C 7227.FBpp0111569
4932.YOR265W 7227.FBpp0081062
4932.YLR060W 7227.FBpp0084021
4932.YKL196C 7227.FBpp0076186
4932.YML021C 7227.FBpp0305498
4932.YIL138C 7227.FBpp0079113
4932.YLR320W 7227.FBpp0291088
4932.YHR071W 7227.FBpp0078365
4932.YPL115C 7227.FBpp0303187
4932.YOR178C 7227.FBpp0086820
4932.YDL117W 7227.FBpp0111797
4932.YAL041W 7227.FBpp0086196
4932.YPL210C 7227.FBpp0083319
4932.YLR207W 7227.FBpp0302807
4932.YMR296C 7227.FBpp0086842
4932.YOR357C 7227.FBpp0082110
4932.YKR055W 7227.FBpp0084561
4932.YGR200C 7227.FBpp0087307
4932.YDL004W 7227.FBpp0071794
4932.YDL084W 7227.FBpp0305286
4932.YLR347C 7227.FBpp0294035
4932.YOR004W 7227.FBpp0086096
4932.YNL030W 7227.FBpp0084659
4932.YHR166C 7227.FBpp0080894
4932.YJL013C 7227.FBpp0305611
4932.YLL036C 7227.FBpp0085902
4932.YDL082W 7227.FBpp0075764
4932.YKL170W 7227.FBpp0302537
4932.YJL047C 7227.FBpp0086711
4932.YKL056C 7227.FBpp0072081
4932.YGL163C 7227.FBpp0077357
4932.YNL138W-A 7227.FBpp0081484
4932.YLR061W 7227.FBpp0083293
4932.YNR054C 7227.FBpp0074687
4932.YMR104C 7227.FBpp0305462
4932.YJL164C 7227.FBpp0293527
4932.YPL010W 7227.FBpp0075111
4932.YER122C 7227.FBpp0304160
4932.YDR170C 7227.FBpp0304747
4932.YFR050C 7227.FBpp0078448
4932.YBR098W 7227.FBpp0087317
4932.YEL020W-A 7227.FBpp0073606
4932.YIL126W 7227.FBpp0089115
4932.YGR209C 7227.FBpp0075439
4932.YNL153C 7227.FBpp0076858
4932.YEL047C 7227.FBpp0075801
4932.YKL182W 7227.FBpp0075038
4932.YBR208C 7227.FBpp0300203
4932.YML126C 7227.FBpp0086289
4932.YGL095C 7227.FBpp0271782
4932.YFL018C 7227.FBpp0074906
4932.YMR256C 7227.FBpp0304269
4932.YDL207W 7227.FBpp0079710
4932.YER012W 7227.FBpp0080490
